Author,Rating,Title,Body
Nozmul Hussain,4,4.0 out of 5 starsDaily need torch,"Delivery time is ok, product is ok"
bishnu kant,3,3.0 out of 5 starsBattery backup is very good,Very good product
prasanna,5,5.0 out of 5 starsgood value for money,excellent product .long distance powerful light. and gave me 4 hours backup as described. clip feature was worth the money.
One Nation with One Rule,4,4.0 out of 5 starsLED Torch,Good and Handy Torch
Bhaskar jit baruah,4,4.0 out of 5 starsColor different but ok,Different color received. Heavy brightness. Value for money
milandeka,4,4.0 out of 5 starsgood,good
Chaudhary,5,5.0 out of 5 stars10/10,Pretty food and worth the price
Pankaj Singh,4,4.0 out of 5 starsOkayish,Good for 150 rupees
Bk Naga,4,4.0 out of 5 starsGood,Good product
Rupashree Mishra,3,3.0 out of 5 starsReceived today.Medium stage,Medium use...Battery is 500Mah.It only lasts for a Hour.Better go for  Bajaj Mini Torch.
Harnam,5,5.0 out of 5 starsSuper Practical & Useful gadget! Worth the money,"The video showcases the product in use.The video guides you through product setup.The video compares multiple products.The video shows the product being unpacked.Video Player is loading.Click to play videoPlayMuteCurrent Time0:00/Duration0:13Loaded:23.10%0:00Stream TypeLIVESeek to live, currently behind liveLIVERemaining Time-0:131xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedEnglish (Automated)Audio Trackdefault, selectedFullscreenThis is a modal window.6 stars Product! I will choose this over other chinese flashlights in the market.Beware!!!! Dont hand it over to children as the light seems to be extremely strong as it feels warm when kept infront of skin. Will damage eyes for sure and permanent like lazer.Super practical. I just feel there should be a magnet to stick it to places which I would Mod it to mine shortly.PS: I am yet to test the full battery. I hav charged it full and using it for around 5 mins in 2 days. Works amazing so far."
Anil Pandita,4,4.0 out of 5 starsNice,Small yet powerful.
